;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KALEM BAZINDA AMBALAJ TIR KAMPANYASI MALİYETLERİ DALMAÇYALI - EXPERT (ARALIK 2025-8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MALZEME İSMİ;KDV DAHİL LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV DAHİL İSKONTOLU FİYATI ;KDV DAHİL M2 FİYATI;;2025-7;;KDV HARİÇ;KDV HARİÇ;; Yüzde +10;Yüzde +10/ m2;;;;"MALZEME İSMİ
EYLÜL 2025-6";KDV DAHİL LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV DAHİL İSKONTOLU FİYATI ;KDV DAHİL M2 FİYATI
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 5cm 20-22kg/m3;1.152,00 TL;9;8;;;;;964,45 TL;192,89 TL;0,00%;1.152,00 TL;;803,71;160,74;;884,08;176,82;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 6cm 20-22kg/m3;1.105,92 TL;9;8;;;;;925,88 TL;231,47 TL;0,00%;1.105,92 TL;;771,56;192,89;;848,72;212,18;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 7cm 20-22kg/m3;1.128,96 TL;9;8;;;;;945,17 TL;270,05 TL;0,00%;1.128,96 TL;;787,64;225,04;;866,40;247,54;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 8cm 20-22kg/m3;1.105,92 TL;9;8;;;;;925,88 TL;308,63 TL;0,00%;1.105,92 TL;;771,56;257,19;;848,72;282,91;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 9cm 20-22kg/m3;1.036,80 TL;9;8;;;;;868,01 TL;347,20 TL;0,00%;1.036,80 TL;;723,34;289,34;;795,67;318,27;;;;;;;;;;;;;
Expert 035 EPS (Beyaz) Isı Yalıtım Levhası 10cm 20-22kg/m3;1.152,00 TL;9;8;;;;;964,45 TL;385,78 TL;0,00%;1.152,00 TL;;803,71;321,48;;884,08;353,63;;;;;;;;;;;;;
Expert Yapıştırma Harcı 25 KG;214,45 TL;9;8;;;;;179,54 TL;;0,00%;214,45 TL;;149,61;;;164,58;;;;;;;;;;;;;;
Expert Sıva Harcı 25 KG;285,52 TL;9;8;;;;;239,04 TL;;0,00%;285,52 TL;;199,20;;;219,12;;;;;;;;;;;;;;
Expert Dekoratif Mineral Kaplama İnce Tane 25 KG;392,44 TL;9;8;;;;;328,55 TL;;0,00%;392,44 TL;;273,79;;;301,17;;;;;;;;;;;;;;
Expert Dekoratif Mineral Kaplama Tane Doku 25 KG;392,44 TL;9;8;;;;;328,55 TL;;0,00%;392,44 TL;;273,79;;;301,17;;;;;;;;;;;;;;
Expert Dekoratif Mineral Kaplama Çizgi Doku 25 KG;431,99 TL;9;8;;;;;361,66 TL;;0,00%;431,99 TL;;301,39;;;331,52;;;;;;;;;;;;;;
Expert Kaplama Astarı 25 KG;1.272,00 TL;9;8;;;;;1.064,92 TL;;0,00%;1.272,00 TL;;887,43;;;976,18;;;;;;;;;;;;;;
Expert Donatı Filesi F160 55 M2;1.808,10 TL;9;8;;;;;1.513,74 TL;;0,00%;1.808,10 TL;;1261,45;;;1387,60;;;;;;;;;;;;;;
Expert Fileli Köşe Profili (PVC)  2,5 m  (50 adet 125 m);2.655,00 TL;9;8;;;;;2.222,77 TL;;0,00%;2.655,00 TL;;1852,31;;;2037,54;;;;;;;;;;;;;;
